2020/11/04 16:49:04, Geta, b of green, j of green, Geta
2020/11/04 16:49:16, Abe, i of green, g of green, Abe
2020/11/04 16:49:26, Geta, a of red, e of orange, Abe
2020/11/04 16:49:28, Geta, h of green, h of yellow, Abe
2020/11/04 16:49:31, Geta, b of yellow, f of red, Abe
2020/11/04 16:49:34, Geta, c of yellow, g of yellow, Geta
2020/11/04 16:49:37, Abe, f of blue, e of purple, Geta
2020/11/04 16:49:38, Abe, b of orange, a of blue, Geta
2020/11/04 16:49:40, Abe, d of purple, h of blue, Abe
2020/11/04 16:49:40, Abe, Abe, Abe 5, Geta 4
